train_loss,train_f1,test_loss,test_f1
0.0700466374663214,0.4203936457291648,0.0608070044737795,0.4561720027854207
0.0174012691037807,0.766488714056541,0.0577558218703969,0.5122428649495518
0.0132567650440125,0.8260994146168547,0.0546456733232607,0.5435844919604677
0.0112336509029559,0.8522855671757663,0.0552124760478087,0.5454519705490458
0.0100023801453674,0.8704812367381807,0.0548035537257142,0.5582395157004303
0.0092635796063553,0.8830267597353927,0.0564238693727099,0.5352519811893891
0.0087139800009589,0.8924279009217265,0.0591891896708504,0.5528616129817654
0.0081033376206642,0.9000731887867256,0.0638632944096689,0.5414292599115605
0.0076497243831042,0.9067032786107264,0.0637485148304182,0.5616596976401473
0.0073685757209277,0.9110707918284082,0.067372560509197,0.5453122013257162
0.0069006646511345,0.9165655870602198,0.0700180775931348,0.5321752482930172
0.0066813636274838,0.9199247809186056,0.0669785146561005,0.5339633634003556
0.0065145867193064,0.9242001206682072,0.0729627470283404,0.5467934575809879
0.0061952614701217,0.9282385235873296,0.0740052867842757,0.5366177254733208
0.0059842703332606,0.9316303909885356,0.0767200652671896,0.5417676744807894
