train_loss,train_f1
0.08402506786881721,0.21793370758415714
0.04324737118670348,0.46778163324476546
0.035196685333426604,0.5454101947441503
0.030877502385724485,0.5881050853853068
0.028132429748850683,0.6168155930679033
0.0258564016267291,0.640309692587404
0.024432937485704447,0.658405459627002
0.022906931606332205,0.6747209769847079
0.021675379734177908,0.6868136490233087
0.020728184507236867,0.697840608231316
0.020232225218269718,0.7062286430249931
0.019329369234410327,0.7159267880537267
0.018657195939649894,0.7240166284599682
0.018161765894314025,0.730775772411345
0.017654142666603277,0.7377534949709555
