train_loss,train_f1,test_loss,test_f1
0.0850731778854874,0.2716114568483597,0.0440177048460162,0.1810192755730742
0.0421697324060875,0.5321364051527165,0.0401289054867008,0.2238004341238307
0.0338341677473851,0.604074856709561,0.0395624032244086,0.2280981601566793
0.0300198488690388,0.6434964483557656,0.0387929126234917,0.2458287291105293
0.0276783898529694,0.6687254339629028,0.0383202649717187,0.2382353322367135
0.0255824050972222,0.6905660734100192,0.0399181069485072,0.2439180842269782
0.0238921214338308,0.7077427438828635,0.0409884951237974,0.221578153445918
0.0222635380365611,0.7241722001580667,0.041108241240526,0.2413663071342101
0.021509204833023,0.7348462961609357,0.0416756157024667,0.2373523206737395
0.0203951799970658,0.7454830952104953,0.0418298634347216,0.226382614111651
0.0197148819428843,0.7550604687375397,0.0435016818729967,0.2447503385055985
0.0187512012225927,0.7629903574216451,0.0437886789441108,0.2422410475877296
0.0182043702541888,0.7698321438052979,0.0423314289735822,0.2483090643270647
0.0175545476486448,0.7768635528723059,0.0446529211155299,0.2407441079581354
0.0168500613879749,0.7824173203613342,0.0430852786862644,0.2387453967730174
