train_loss,train_f1
0.07520879074487773,0.2639004232714803
0.03865558728527514,0.5126289776096118
0.031416654614502756,0.5827813351255826
0.028225506973943226,0.617276606835008
0.025807104446957753,0.6419011140240101
0.024260817681177774,0.6611638983080389
0.022563858883019254,0.6769089117856238
0.021627523612838245,0.6916624981299923
0.020336479549193792,0.7027567380373603
0.019918041067007557,0.7135377782045246
0.01892258009281766,0.7228757361935507
0.01832585390066827,0.729477615727599
0.017678218505756127,0.7383499109090693
0.01722341379329061,0.7431691534611601
0.01675188819965755,0.7506304899526989
