F1,LLM
0.9090909090909091,RiNALMo
0.6666666666666666,RiNALMo
0.7272727272727273,RiNALMo
0.888888888888889,RiNALMo
0.7878787878787878,RiNALMo
0.746268656716418,RiNALMo
1.0,RiNALMo
0.3157894736842105,RiNALMo
0.9767441860465117,RiNALMo
0.0,RiNALMo
0.39999999999999997,RiNALMo
0.4444444444444445,RiNALMo
0.72,RiNALMo
0.21428571428571427,RiNALMo
0.7111111111111111,RiNALMo
0.7931034482758621,RiNALMo
0.5357142857142857,RiNALMo
0.43243243243243246,RiNALMo
0.20588235294117646,RiNALMo
0.22222222222222224,RiNALMo
0.060606060606060615,RiNALMo
0.2576687116564417,RiNALMo
0.5277777777777778,RiNALMo
0.9302325581395349,RiNALMo
0.36363636363636365,RiNALMo
0.7301587301587302,RiNALMo
0.5714285714285714,RiNALMo
0.4666666666666666,RiNALMo
0.782608695652174,RiNALMo
0.48979591836734687,RiNALMo
0.0,RiNALMo
0.951219512195122,RiNALMo
0.7659574468085106,RiNALMo
0.8789808917197452,RiNALMo
0.9818181818181818,RiNALMo
0.8148148148148148,RiNALMo
0.0,RiNALMo
0.5116279069767441,RiNALMo
0.7636363636363637,RiNALMo
0.3793103448275862,RiNALMo
0.5714285714285713,RiNALMo
0.8169014084507041,RiNALMo
0.9142857142857143,RiNALMo
0.5714285714285714,RiNALMo
0.06382978723404255,RiNALMo
0.8235294117647058,RiNALMo
0.7936507936507936,RiNALMo
0.7719298245614035,RiNALMo
0.5263157894736842,RiNALMo
0.26666666666666666,RiNALMo
0.782608695652174,RiNALMo
0.2909090909090909,RiNALMo
0.3333333333333333,RiNALMo
0.9090909090909091,RiNALMo
0.13636363636363635,RiNALMo
0.9268292682926829,RiNALMo
0.5806451612903226,RiNALMo
0.927536231884058,RiNALMo
0.6153846153846153,RiNALMo
0.07407407407407407,RiNALMo
0.6153846153846154,RiNALMo
0.8235294117647058,RiNALMo
0.6486486486486486,RiNALMo
0.5423728813559323,RiNALMo
0.6415094339622641,RiNALMo
0.7878787878787878,RiNALMo
1.0,RiNALMo
0.6530612244897959,RiNALMo
0.9811320754716981,RiNALMo
1.0,RiNALMo
0.46601941747572817,RiNALMo
0.45714285714285724,RiNALMo
0.6666666666666667,RiNALMo
0.19999999999999998,RiNALMo
0.5238095238095237,RiNALMo
0.8860759493670886,RiNALMo
1.0,RiNALMo
0.52,RiNALMo
0.888888888888889,RiNALMo
0.1359223300970874,RiNALMo
0.5217391304347826,RiNALMo
1.0,RiNALMo
0.04761904761904762,RiNALMo
0.9433962264150944,RiNALMo
0.8333333333333334,RiNALMo
0.819672131147541,RiNALMo
1.0,RiNALMo
1.0,RiNALMo
0.7727272727272727,RiNALMo
0.972972972972973,RiNALMo
0.9523809523809523,RiNALMo
0.7936507936507936,RiNALMo
0.8163265306122449,RiNALMo
0.33962264150943394,RiNALMo
0.9268292682926829,RiNALMo
0.3333333333333333,RiNALMo
0.9056603773584904,RiNALMo
0.6551724137931034,RiNALMo
0.7708333333333335,RiNALMo
0.1694915254237288,RiNALMo
0.2033898305084746,RiNALMo
0.6046511627906976,RiNALMo
0.7307692307692308,RiNALMo
0.39999999999999997,RiNALMo
0.6428571428571429,RiNALMo
0.9743589743589743,RiNALMo
0.48648648648648646,RiNALMo
0.025974025974025976,RiNALMo
0.975609756097561,RiNALMo
0.8333333333333333,RiNALMo
0.7352941176470588,RiNALMo
0.5348837209302325,RiNALMo
0.16666666666666669,RiNALMo
0.3636363636363636,RiNALMo
0.0,RiNALMo
0.4,RiNALMo
0.27272727272727276,RiNALMo
1.0,RiNALMo
0.45333333333333337,RiNALMo
0.3548387096774193,RiNALMo
0.9743589743589743,RiNALMo
0.7432950191570881,RiNALMo
0.7931034482758621,RiNALMo
0.0,RiNALMo
0.8571428571428571,RiNALMo
0.9743589743589743,RiNALMo
0.5679012345679012,RiNALMo
0.6461538461538462,RiNALMo
0.8085106382978724,RiNALMo
1.0,RiNALMo
0.8400000000000001,RiNALMo
