F1,LLM,fam
0.793103448275862,RiNALMo,5s
0.8695652173913043,RiNALMo,5s
0.8051948051948052,RiNALMo,5s
0.8709677419354839,RiNALMo,5s
0.7868852459016393,RiNALMo,5s
0.9253731343283583,RiNALMo,5s
0.8163265306122449,RiNALMo,5s
0.9090909090909091,RiNALMo,5s
0.9117647058823528,RiNALMo,5s
0.5490196078431372,RiNALMo,5s
0.75,RiNALMo,5s
0.8307692307692308,RiNALMo,5s
0.5000000000000001,RiNALMo,5s
0.8999999999999999,RiNALMo,5s
0.7384615384615385,RiNALMo,5s
0.6037735849056604,RiNALMo,5s
0.7301587301587301,RiNALMo,5s
0.8307692307692308,RiNALMo,5s
0.6250000000000001,RiNALMo,5s
0.6885245901639344,RiNALMo,5s
0.8135593220338982,RiNALMo,5s
0.8387096774193549,RiNALMo,5s
0.76,RiNALMo,5s
0.7540983606557378,RiNALMo,5s
0.6250000000000001,RiNALMo,5s
0.835820895522388,RiNALMo,5s
0.7868852459016393,RiNALMo,5s
0.84375,RiNALMo,5s
0.9538461538461539,RiNALMo,5s
0.9090909090909091,RiNALMo,5s
0.9275362318840579,RiNALMo,5s
0.9705882352941176,RiNALMo,5s
0.6666666666666666,RiNALMo,5s
0.8000000000000002,RiNALMo,5s
0.7647058823529411,RiNALMo,5s
0.8852459016393444,RiNALMo,5s
0.8135593220338984,RiNALMo,5s
0.8857142857142858,RiNALMo,5s
0.9375,RiNALMo,5s
0.6301369863013698,RiNALMo,5s
0.7547169811320755,RiNALMo,5s
0.870967741935484,RiNALMo,5s
0.8307692307692307,RiNALMo,5s
0.7999999999999999,RiNALMo,5s
0.8135593220338982,RiNALMo,5s
0.8615384615384615,RiNALMo,5s
0.9428571428571428,RiNALMo,5s
0.7272727272727274,RiNALMo,5s
0.835820895522388,RiNALMo,5s
0.8253968253968254,RiNALMo,5s
0.8999999999999999,RiNALMo,5s
0.7868852459016393,RiNALMo,5s
0.5384615384615385,RiNALMo,5s
0.7246376811594203,RiNALMo,5s
0.8135593220338982,RiNALMo,5s
0.9705882352941176,RiNALMo,5s
0.6296296296296295,RiNALMo,5s
0.7636363636363637,RiNALMo,5s
0.7073170731707318,RiNALMo,5s
0.8055555555555555,RiNALMo,5s
0.8125,RiNALMo,5s
0.7666666666666666,RiNALMo,5s
0.8125,RiNALMo,5s
0.8064516129032259,RiNALMo,5s
0.9206349206349207,RiNALMo,5s
0.8450704225352113,RiNALMo,5s
0.6545454545454545,RiNALMo,5s
0.8358208955223881,RiNALMo,5s
0.8484848484848486,RiNALMo,5s
0.8253968253968254,RiNALMo,5s
0.806451612903226,RiNALMo,5s
0.870967741935484,RiNALMo,5s
0.8125,RiNALMo,5s
0.6923076923076923,RiNALMo,5s
0.7924528301886793,RiNALMo,5s
0.819672131147541,RiNALMo,5s
0.8135593220338982,RiNALMo,5s
0.8813559322033898,RiNALMo,5s
0.9393939393939394,RiNALMo,5s
0.8955223880597015,RiNALMo,5s
0.7741935483870968,RiNALMo,5s
0.870967741935484,RiNALMo,5s
0.52,RiNALMo,5s
0.9333333333333333,RiNALMo,5s
0.7368421052631579,RiNALMo,5s
0.8529411764705883,RiNALMo,5s
0.8695652173913043,RiNALMo,5s
0.7169811320754716,RiNALMo,5s
0.7804878048780488,RiNALMo,5s
0.9090909090909091,RiNALMo,5s
0.5384615384615384,RiNALMo,5s
0.490566037735849,RiNALMo,5s
0.8813559322033898,RiNALMo,5s
0.9032258064516129,RiNALMo,5s
0.9333333333333333,RiNALMo,5s
0.6666666666666667,RiNALMo,5s
0.8524590163934426,RiNALMo,5s
0.7619047619047619,RiNALMo,5s
0.8857142857142858,RiNALMo,5s
0.7924528301886792,RiNALMo,5s
0.43478260869565216,RiNALMo,5s
0.611111111111111,RiNALMo,5s
0.5909090909090909,RiNALMo,5s
0.8955223880597015,RiNALMo,5s
0.7636363636363637,RiNALMo,5s
0.42553191489361697,RiNALMo,5s
0.8253968253968254,RiNALMo,5s
0.7868852459016393,RiNALMo,5s
0.8571428571428572,RiNALMo,5s
0.782608695652174,RiNALMo,5s
0.7868852459016394,RiNALMo,5s
0.875,RiNALMo,5s
0.6666666666666667,RiNALMo,5s
0.8571428571428571,RiNALMo,5s
0.7457627118644068,RiNALMo,5s
