F1,LLM
0.23529411764705882,RiNALMo
0.6021505376344085,RiNALMo
0.20618556701030927,RiNALMo
0.6562499999999999,RiNALMo
0.5333333333333333,RiNALMo
0.5263157894736842,RiNALMo
0.0,RiNALMo
0.1111111111111111,RiNALMo
0.4583333333333333,RiNALMo
0.19607843137254902,RiNALMo
0.07766990291262135,RiNALMo
0.4800000000000001,RiNALMo
0.9473684210526316,RiNALMo
0.37362637362637363,RiNALMo
0.6216216216216217,RiNALMo
0.9210526315789473,RiNALMo
0.15126050420168066,RiNALMo
0.24242424242424246,RiNALMo
0.6060606060606061,RiNALMo
0.7272727272727273,RiNALMo
0.33587786259541985,RiNALMo
0.23809523809523808,RiNALMo
0.4313725490196078,RiNALMo
0.4470588235294118,RiNALMo
0.65,RiNALMo
0.46511627906976744,RiNALMo
0.425531914893617,RiNALMo
0.5116279069767442,RiNALMo
0.8717948717948718,RiNALMo
0.8571428571428571,RiNALMo
0.38095238095238093,RiNALMo
0.24999999999999994,RiNALMo
0.5365853658536586,RiNALMo
0.3529411764705882,RiNALMo
0.2978723404255319,RiNALMo
0.6,RiNALMo
0.21212121212121213,RiNALMo
0.253968253968254,RiNALMo
0.4444444444444445,RiNALMo
0.6153846153846153,RiNALMo
0.22950819672131145,RiNALMo
0.39506172839506176,RiNALMo
0.5853658536585366,RiNALMo
0.8717948717948718,RiNALMo
0.4,RiNALMo
0.19354838709677416,RiNALMo
0.8846153846153847,RiNALMo
0.3414634146341463,RiNALMo
0.6956521739130435,RiNALMo
0.24489795918367346,RiNALMo
0.5454545454545454,RiNALMo
0.75,RiNALMo
0.4255319148936171,RiNALMo
0.34285714285714286,RiNALMo
0.823529411764706,RiNALMo
0.8809523809523809,RiNALMo
0.631578947368421,RiNALMo
0.25,RiNALMo
0.4,RiNALMo
0.42105263157894735,RiNALMo
0.25,RiNALMo
0.7199999999999999,RiNALMo
0.48000000000000004,RiNALMo
0.41860465116279066,RiNALMo
0.26666666666666666,RiNALMo
0.358974358974359,RiNALMo
0.4827586206896552,RiNALMo
0.3636363636363637,RiNALMo
0.2926829268292683,RiNALMo
0.7096774193548386,RiNALMo
0.21052631578947367,RiNALMo
0.6976744186046512,RiNALMo
0.45161290322580644,RiNALMo
0.28571428571428575,RiNALMo
0.30612244897959184,RiNALMo
0.18518518518518515,RiNALMo
0.09523809523809525,RiNALMo
0.6666666666666666,RiNALMo
0.0,RiNALMo
0.15652173913043477,RiNALMo
0.4848484848484849,RiNALMo
0.5238095238095238,RiNALMo
0.4444444444444445,RiNALMo
0.3846153846153846,RiNALMo
0.48000000000000004,RiNALMo
0.39316239316239315,RiNALMo
0.36363636363636365,RiNALMo
0.6101694915254238,RiNALMo
0.8,RiNALMo
0.5161290322580646,RiNALMo
0.9113924050632912,RiNALMo
0.15999999999999998,RiNALMo
0.75,RiNALMo
0.5454545454545455,RiNALMo
0.21311475409836064,RiNALMo
0.4571428571428572,RiNALMo
0.32183908045977017,RiNALMo
0.8333333333333333,RiNALMo
0.5500000000000002,RiNALMo
0.6329113924050633,RiNALMo
0.4383561643835617,RiNALMo
