train_loss,train_f1,test_loss,test_f1
0.0699284298972863,0.293167199081878,0.0486889851882177,0.1726215030471599
0.0367692459727588,0.5331158794273537,0.0450849248205914,0.1989528067514014
0.0301462843053435,0.6001521506477361,0.0441788846955579,0.2240564461342402
0.0268508293979654,0.6373065700605997,0.0441977949265171,0.2444464477338601
0.0244458483894796,0.6618791415699511,0.0458046706283793,0.2247327131087123
0.0227019329158295,0.6799245522851872,0.0472247326637015,0.2280347817908711
0.0215189239583713,0.69474464436099,0.0529033355414867,0.2131980443154308
0.0206335265610955,0.7074241380211657,0.0538743931580992,0.2005223217145077
0.0195222056622764,0.7198156439853765,0.0557631486478973,0.2072709531531551
0.0189465047056345,0.7285645501200194,0.0571333879933637,0.2046999612409756
0.0181512608114433,0.736520677821926,0.0543478034874972,0.2114006608810237
0.0175184809426335,0.7440984295394212,0.0617853100685512,0.1847906130720066
0.0171162866002046,0.7497388059990239,0.0601128808715764,0.2096260350833759
0.016569055655579,0.7558857048884379,0.0592689007958945,0.2056511534824759
0.0160838253315734,0.7629901547321387,0.0622393022127011,0.1916926155155889
